source_message_index,event_id,session_type,message_timestamp,message_lap,message,process_status,car_numbers,car_count,location,incident_lap_explicit,incident_family
290,2018-aze,Race,2018-04-29 05:52:18-07:00,19.0,"TURN 2 INCIDENT INVOLVING CARS 14 (ALO),27 (HUL)  AND 35 (SIR) NOTED - NO INVESTIGATION NECESSARY",no_investigation,14|27|35,3,Turn 2,,other
292,2018-aze,Race,2018-04-29 05:53:17-07:00,20.0,TURN 2 INCIDENT INVOLVING CARS 9 (ERI) AND 20 (MAG) UNDER INVESTIGATION,investigation,9|20,2,Turn 2,,other
293,2018-aze,Race,2018-04-29 05:53:57-07:00,20.0,10 SECOND TIME PENALTY FOR CAR 9 (ERI) - CAUSING A COLLISION,sanction_announced,9,1,,,causing_collision
298,2018-aze,Race,2018-04-29 05:59:36-07:00,23.0, INCIDENT INVOLVING CAR 11 (PER) UNDER INVESTIGATION - OVERTAKING BEFORE THE SAFETY CAR LINE,investigation,11,1,,,other
300,2018-aze,Race,2018-04-29 06:00:34-07:00,24.0,5 SECOND TIME PENALTY FOR CAR 11 (PER) - OVERTAKING BEFORE THE SAFETY CAR LINE,sanction_announced,11,1,,,other
322,2018-aze,Race,2018-04-29 06:29:08-07:00,40.0,"INCIDENT INVOLVING CARS 11 (PER), 18 (STR) AND 20 (MAG) WILL BE INVESTIGATED AFTER THE RACE - USE OF DRS WHEN NOT PERMITTED",post_session_investigation,11|18|20,3,,,other
352,2018-aze,Race,2018-04-29 06:54:17-07:00,50.0,TURN 1 INCIDENT INVOLVING CARS 3 (RIC) AND 33 (VER) WILL BE INVESTIGATED AFTER THE RACE,post_session_investigation,3|33,2,Turn 1,,other
353,2018-aze,Race,2018-04-29 06:56:49-07:00,51.0,TURN 20 INCIDENT INVOLVING CARS 10 (GAS) AND 20 (MAG) WILL BE INVESTIGATED AFTER THE RACE,post_session_investigation,10|20,2,Turn 20,,other
363,2018-bel,Race,2018-08-26 06:16:11-07:00,2.0,1ST CORNER INCIDENT UNDER INVESTIGATION,investigation,,0,Turn 1,,other
364,2018-bel,Race,2018-08-26 06:17:28-07:00,2.0,TURN 1 INCIDENT WILL BE INVESTIGATED AFTER THE RACE,post_session_investigation,,0,Turn 1,,other
371,2018-bel,Race,2018-08-26 06:27:32-07:00,6.0,TURN 1 INCIDENT INVOLVING CARS 3 (RIC) AND 7 (RAI) NOTED,noted,3|7,2,Turn 1,,other
374,2018-bel,Race,2018-08-26 06:29:10-07:00,7.0,TURN 1 INCIDENT INVOLVING CARS 3 (RIC) AND 7 (RAI) - NO INVESTIGATION NECESSARY,no_investigation,3|7,2,Turn 1,,other
407,2018-bhr,Race,2018-04-08 08:24:36-07:00,7.0,TURN 4 INCIDENT INVOLVING CARS 11 (PER) AND 28 (HAR) UNDER INVESTIGATION - CAUSING A COLLISION,investigation,11|28,2,Turn 4,,causing_collision
408,2018-bhr,Race,2018-04-08 08:27:04-07:00,8.0,TURN 1 INCIDENT INVOLVING CARS 33 (VER) AND 44 (HAM) NOTED - NO FURTHER ACTION,no_further_action,33|44,2,Turn 1,,other
409,2018-bhr,Race,2018-04-08 08:27:48-07:00,9.0,INCIDENT INVOLVING CARS 27 (HUL) AND 20 (MAG) NOTED - NO FURTHER ACTION,no_further_action,20|27,2,,,other
410,2018-bhr,Race,2018-04-08 08:28:12-07:00,9.0,10 SECOND TIME PENALTY FOR CAR 28 (HAR) - CAUSING A COLLISION,sanction_announced,28,1,,,causing_collision
