held_out_season,status,test_rows,test_sanction_rate,brier_score,roc_auc
2018,estimated,53,0.6415094339622641,0.23764257154168067,0.5147058823529411
2019,estimated,44,0.4090909090909091,0.3109877296775625,0.6228632478632478
2020,estimated,18,0.5555555555555556,0.20002416744235466,0.83125
2021,estimated,29,0.7586206896551724,0.21805336909218168,0.4642857142857143
2022,estimated,46,0.7391304347826086,0.20283182800121385,0.5661764705882353
2023,estimated,39,0.5897435897435898,0.23031044986070745,0.6005434782608696
2024,estimated,54,0.6481481481481481,0.21965708593794778,0.6323308270676692
2025,estimated,63,0.6031746031746031,0.24285062108677227,0.6021052631578948
