review_id,target_type,target_id,evidence_urls,initial_summary,review_status,reviewer_id,reviewed_at_utc,review_minutes,corrected_fields_json,reviewer_notes
review-adj-2019-aut-r69-t3-16,adjudication,adj-2019-aut-r69-t3-16,https://www.fia.com/sites/default/files/decision-document/2019%20Austrian%20Grand%20Prix%20-%20Decision%20-%20Car%2016%20(Incident%20with%20car%2033%20in%20turn%203).pdf,Car 16 / lap 69 / turn 3 / collision / no action / racing incident,pending,,,,,
review-adj-2019-aut-r69-t3-33,adjudication,adj-2019-aut-r69-t3-33,https://www.fia.com/sites/default/files/decision-document/2019%20Austrian%20Grand%20Prix%20-%20Decision%20-%20Car%2033%20(Turn%203%20incident%20with%20car%2016).pdf,Car 33 / lap 69 / turn 3 / collision / no action / racing incident,pending,,,,,
review-adj-2023-abu-r15-t6-44,adjudication,adj-2023-abu-r15-t6-44,https://www.fia.com/sites/default/files/decision-document/2023%20Abu%20Dhabi%20Grand%20Prix%20-%20Decision%20-%20Car%2044%20-%20Alleged%20causing%20a%20collision.pdf,Car 44 / lap 15 / turn 6 / collision / no action / racing incident,pending,,,,,
review-adj-2023-abu-r47-t6-11,adjudication,adj-2023-abu-r47-t6-11,https://www.fia.com/sites/default/files/decision-document/2023%20Abu%20Dhabi%20Grand%20Prix%20-%20Infringement%20-%20Car%2011%20-%20Causing%20a%20collision.pdf,Car 11 / lap 47 / turn 6 / collision / five seconds and two points,pending,,,,,
review-adj-2025-aut-r31-t4-22,adjudication,adj-2025-aut-r31-t4-22,https://www.fia.com/system/files/decision-document/2025_austrian_grand_prix_-_infringement_-_car_22_-_causing_a_collision_with_car_43_in_turn_4.pdf,Car 22 / global lap 31 / turn 4 / collision / ten seconds and two points / conformant,pending,,,,,
review-adj-2025-aut-r4-t3-43,adjudication,adj-2025-aut-r4-t3-43,https://www.fia.com/system/files/decision-document/2025_austrian_grand_prix_-_decision_-_car_43_-_alleged_forcing_another_driver_off_of_the_track.pdf,Car 43 / lap 4 / turn 3 / alleged forcing off / no action / conformant,pending,,,,,
review-adj-2025-aut-r54-t34-43,adjudication,adj-2025-aut-r54-t34-43,https://www.fia.com/system/files/decision-document/2025_austrian_grand_prix_-_infringement_-_car_43_-_forcing_car_81_off_track.pdf,Car 43 / global lap 54 / turn unresolved / forcing off / five seconds and one point / mitigated,pending,,,,,
review-adj-2025-aut-r1-t3-12,adjudication,adj-2025-aut-r1-t3-12,https://www.fia.com/system/files/decision-document/2025_austrian_grand_prix_-_infringement_-_car_12_-_causing_a_collision_with_car_1.pdf,Car 12 / lap 1 / turn 3 / collision / three grid places and two points / conformant,pending,,,,,
review-adj-2025-aut-r15-t3-22,adjudication,adj-2025-aut-r15-t3-22,https://www.fia.com/system/files/decision-document/2025_austrian_grand_prix_-_decision_-_car_22_-_alleged_forcing_car_18_off_track.pdf,Car 22 / lap 15 / turn 3 / alleged forcing off / no action / conformant,pending,,,,,
review-impact-2023-abu-11,impact_assessment,impact-2023-abu-11,https://www.fia.com/sites/default/files/decision-document/2023%20Abu%20Dhabi%20Grand%20Prix%20-%20Infringement%20-%20Car%2011%20-%20Causing%20a%20collision.pdf;https://www.fia.com/sites/default/files/decision-document/2023%20Abu%20Dhabi%20Grand%20Prix%20-%20Final%20Race%20Classification.pdf,Mechanical removal / P4 to P2 / two positions / six standard points / podium changes,pending,,,,,
review-impact-2025-aut-43,impact_assessment,impact-2025-aut-43,https://www.fia.com/system/files/decision-document/2025_austrian_grand_prix_-_infringement_-_car_43_-_forcing_car_81_off_track.pdf;https://www.fia.com/system/files/decision-document/2025_austrian_grand_prix_-_final_race_classification.pdf,Mechanical removal / remains P15 / no position or points change,pending,,,,,
review-impact-2025-aut-22,impact_assessment,impact-2025-aut-22,https://www.fia.com/system/files/decision-document/2025_austrian_grand_prix_-_infringement_-_car_22_-_causing_a_collision_with_car_43_in_turn_4.pdf;https://www.fia.com/system/files/decision-document/2025_austrian_grand_prix_-_final_race_classification.pdf,Served during race / strategy-dependent / not mechanically estimable,pending,,,,,
review-impact-2025-aut-12,impact_assessment,impact-2025-aut-12,https://www.fia.com/system/files/decision-document/2025_austrian_grand_prix_-_infringement_-_car_12_-_causing_a_collision_with_car_1.pdf;https://www.fia.com/system/files/decision-document/2025_austrian_grand_prix_-_final_race_classification.pdf,Next-event grid penalty / not an Austrian classification effect / not mechanically estimable,pending,,,,,
