coding_queue_id,event_id,season,event_name,title,source_url,driver_number,driver_name,session_type,incident_time_raw,fact_text,decision_text,outcome_family_suggestion,incident_family_suggestion,penalty_seconds_suggestion,penalty_points_suggestion,grid_places_suggestion,affected_driver_number_suggestion,lap_number_suggestion,turn_number_suggestion,incident_group_id,document_version_status,supersedes_document_id,incident_family_final,outcome_family_final,penalty_seconds,penalty_points,affected_driver_number,lap_number,turn_number,responsibility_share,evidence_video,evidence_telemetry,evidence_team_radio,guideline_clause,guideline_expected_outcome,conformance_status,include_primary,exclusion_reason,coder_id,review_status,analyst_notes
fia-2019-aut-f8011f674d7f,2019-aut,2019,Austrian Grand Prix,Decision - Car 16 (Incident with car 33 in turn 3),https://www.fia.com/sites/default/files/decision-document/2019%20Austrian%20Grand%20Prix%20-%20Decision%20-%20Car%2016%20(Incident%20with%20car%2033%20in%20turn%203).pdf,16,Charles Leclerc,Race,16:31,Alleged incident between car 33 and car 16 at Turn 3.,No further action.,no_further_action,manual_family_review,,,,33,69,3,,,,,,,,,,,,,,,,,,,,,,
fia-2019-aut-529bae08f480,2019-aut,2019,Austrian Grand Prix,Decision - Car 33 (Turn 3 incident with car 16),https://www.fia.com/sites/default/files/decision-document/2019%20Austrian%20Grand%20Prix%20-%20Decision%20-%20Car%2033%20(Turn%203%20incident%20with%20car%2016).pdf,33,Max Verstappen,Race,16:31,Alleged incident between car 33 and car 16 at Turn 3.,No further action.,no_further_action,manual_family_review,,,,16,69,3,,,,,,,,,,,,,,,,,,,,,,
fia-2023-abu-61d6bbfe959e,2023-abu,2023,Abu Dhabi Grand Prix,Decision - Car 44 - Alleged causing a collision,https://www.fia.com/sites/default/files/decision-document/2023%20Abu%20Dhabi%20Grand%20Prix%20-%20Decision%20-%20Car%2044%20-%20Alleged%20causing%20a%20collision.pdf,44,Lewis Hamilton,Race,17:25,Car 44 collided with Car 10 at Turn 6 after Car 10 locked its brakes.,No further action.,no_further_action,causing_collision,,,,10,,6,,,,,,,,,,,,,,,,,,,,,,
fia-2023-abu-bceb18192f57,2023-abu,2023,Abu Dhabi Grand Prix,Infringement - Car 11 - Causing a collision,https://www.fia.com/sites/default/files/decision-document/2023%20Abu%20Dhabi%20Grand%20Prix%20-%20Infringement%20-%20Car%2011%20-%20Causing%20a%20collision.pdf,11,Sergio Perez,Race,18:13,Car 11 collided with Car 4 at turn 6.,"5 second time penalty.
2 penalty points (total of 7 for the 12 month period).",time_penalty,causing_collision,5,2,,4,,6,,,,,,,,,,,,,,,,,,,,,,
fia-2025-aut-41aebded7db6,2025-aut,2025,Austrian Grand Prix,Doc 40 - Infringement - Car 22 - Causing a collision with Car 43 in Turn 4,https://www.fia.com/system/files/decision-document/2025_austrian_grand_prix_-_infringement_-_car_22_-_causing_a_collision_with_car_43_in_turn_4.pdf,22,Yuki Tsunoda,Race,15:55,Causing a collision with Car 43 in Turn 4.,"10 second time penalty.
2 penalty points (total of 4 for the 12 month period).",time_penalty,causing_collision,10,2,,43,,4,,,,,,,,,,,,,,,,,,,,,,
fia-2025-aut-5f0b9bc97e16,2025-aut,2025,Austrian Grand Prix,Doc 38 - Decision - Car 43 - Alleged forcing another driver off of the track,https://www.fia.com/system/files/decision-document/2025_austrian_grand_prix_-_decision_-_car_43_-_alleged_forcing_another_driver_off_of_the_track.pdf,43,Franco Colapinto,Race,15:23,Allegedly forcing Car 87 off of the track in Turn 3,No further action.,no_further_action,forcing_off_track,,,,87,,3,,,,,,,,,,,,,,,,,,,,,,
fia-2025-aut-a1f29843f018,2025-aut,2025,Austrian Grand Prix,Doc 42 - Infringement - Car 43 - Forcing Car 81 off Track,https://www.fia.com/system/files/decision-document/2025_austrian_grand_prix_-_infringement_-_car_43_-_forcing_car_81_off_track.pdf,43,Franco Colapinto,Race,16:22,Car 43 forcing Car 81 off of the track between Turns 3 and 4.,"5 second time penalty.
1 penalty point (total of 3 for the 12 month period).",time_penalty,forcing_off_track,5,1,,81,,,,,,,,,,,,,,,,,,,,,,,,
fia-2025-aut-1b2cf15490ab,2025-aut,2025,Austrian Grand Prix,Doc 45 - Infringement - Car 12 - Causing a collision with car 1,https://www.fia.com/system/files/decision-document/2025_austrian_grand_prix_-_infringement_-_car_12_-_causing_a_collision_with_car_1.pdf,12,Kimi Antonelli,Race,15:18,Car 12 caused a collision with Car 1 in Turn 3,"Drop of 3 grid positions for the next Race in which the driver participates.
2 penalty points (total of 2 for the 12 month period).",grid_penalty,causing_collision,,2,3,1,1,3,,,,,,,,,,,,,,,,,,,,,,
fia-2025-aut-3666395a2885,2025-aut,2025,Austrian Grand Prix,Doc 46 - Decision - Car 22 - Alleged Forcing Car 18 off track,https://www.fia.com/system/files/decision-document/2025_austrian_grand_prix_-_decision_-_car_22_-_alleged_forcing_car_18_off_track.pdf,22,Yuki Tsunoda,Race,15:36,Car 22 allegedly forcing Car 18 off track in Turn 3.,No further action.,no_further_action,forcing_off_track,,,,18,,3,,,,,,,,,,,,,,,,,,,,,,
