feature,smd_unweighted,smd_overlap_weighted
season_2018,-0.520743770501998,-0.039160791834256366
incident_family_forcing_off_track,-0.2151625973336604,-0.011440446176419315
season_2025,0.31214887728020263,0.008259061964543856
season_2023,0.2281274212861177,0.00671309990604313
home_race_accused,0.14300883425645447,0.0066299949606087
multi_party,-0.1163144235812214,-0.005079227286155202
incident_family_gaining_advantage_off_track,0.21060093878391553,0.005026673176459035
season_2020,-0.17294038153668972,-0.005024907175954351
season_2024,0.07914341278943181,0.004692073354125652
incident_family_moving_under_braking,0.17191391178665844,0.0037208425974548163
season_2022,-0.15141036755056828,-0.0026972261401855034
season_2021,0.11587483523012393,0.0025124820769561905
incident_family_multiple_defensive_moves,0.044481433764218314,0.00124697726252494
incident_family_causing_collision,-0.08953692181145552,0.0011702219575879858
season_2019,-0.13217638952829955,-0.0011640214304410488
incident_family_unsafe_rejoin,-0.003015187303542935,-0.00017912333401173822
