baseline_probability,target_risk_difference,target_exposure_log_odds,repetitions,successful_fits,successful_fit_fraction,simulation_fit_status,detection_power,target_power,power_target_met,monte_carlo_standard_error,median_estimated_log_odds,median_cluster_robust_se,exposed_rows,unexposed_rows,event_clusters,event_random_intercept_sd,interpretation_status
0.5,0.05,0.20067069546215133,500,500,1.0,stable,0.078,0.8,False,0.011992997957141493,0.17502834026578973,0.35478440526249067,44,302,131,0.35,design_simulation_not_effect_estimate
0.5,0.1,0.4054651081081643,500,500,1.0,stable,0.174,0.8,False,0.016954291492126704,0.3876376047072505,0.3582957235791495,44,302,131,0.35,design_simulation_not_effect_estimate
0.5,0.15,0.6190392084062235,500,500,1.0,stable,0.378,0.8,False,0.02168483340955148,0.6175456612983757,0.36573423762547785,44,302,131,0.35,design_simulation_not_effect_estimate
0.5,0.2,0.8472978603872034,500,500,1.0,stable,0.698,0.8,False,0.02053270561811083,0.8864254324327276,0.37738735223140624,44,302,131,0.35,design_simulation_not_effect_estimate
0.7,0.05,0.25131442828090633,500,499,0.998,stable,0.074,0.8,False,0.011706750189527408,0.2682351559886642,0.4009943925688212,44,302,131,0.35,design_simulation_not_effect_estimate
0.7,0.1,0.5389965007326867,500,500,1.0,stable,0.254,0.8,False,0.019467100451787882,0.6203210295348919,0.42779248509610057,44,302,131,0.35,design_simulation_not_effect_estimate
0.7,0.15,0.8873031950009029,500,497,0.994,stable,0.536,0.8,False,0.022302645582979612,0.9636520259164714,0.4740096173220578,44,302,131,0.35,design_simulation_not_effect_estimate
0.7,0.2,1.3499267169490148,500,490,0.98,stable,0.8,0.8,True,0.017888543819998316,1.3958352682781947,0.5468740690786656,44,302,131,0.35,design_simulation_not_effect_estimate
